Architecture/PV (kW),Architecture/G1500,Architecture/1kWh LA,Architecture/Grid (kW),Architecture/Electrolyzer (kW),Architecture/HTank (kg),Architecture/Converter (kW),Architecture/Dispatch,Cost/NPC ($),Cost/COE ($),Cost/Operating cost ($/yr),Cost/Initial capital ($),System/Ren Frac (%),System/Total Fuel (L/yr),PV/Capital Cost ($),PV/Production (kWh/yr),G1500/Capital Cost ($),G1500/Production (kWh/yr),G1500/O&M Cost ($),1kWh LA/Autonomy (hr),1kWh LA/Annual Throughput (kWh/yr),1kWh LA/Nominal Capacity (kWh),1kWh LA/Usable Nominal Capacity (kWh),Converter/Rectifier Mean Output (kW),Converter/Inverter Mean Output (kW),Grid/Energy Purchased (kWh),Grid/Energy Sold (kWh)
50000,394,5300000,999999,400000,110000,590000,LF,7.39E+09,5.173249,1.56E+08,5.38E+09,99.30263,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164527.5,310.7585,770897.1,1.02E+08
50000,394,5300000,999999,400000,110000,590000,CC,7.39E+09,5.148551,1.56E+08,5.38E+09,98.18798,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164617.5,326.3407,2013002,1.02E+08
50000,394,5300000,999999,400000,120000,590000,LF,7.42E+09,5.250617,1.56E+08,5.41E+09,99.29512,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164654.7,310.2971,770897.1,1.01E+08
50000,394,5300000,999999,400000,120000,590000,CC,7.42E+09,5.22483,1.56E+08,5.41E+09,98.16874,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164734.5,316.2283,2013002,1.01E+08
50000,394,5300000,999999,400000,130000,590000,LF,7.45E+09,5.307663,1.56E+08,5.44E+09,99.29041,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164726.8,303.3152,770897.1,9.99E+07
50000,394,5300000,999999,400000,130000,590000,CC,7.46E+09,5.28105,1.56E+08,5.44E+09,98.15668,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164798.3,301.4182,2013002,1.00E+08
50000,394,5300000,999999,400000,140000,590000,LF,7.49E+09,5.365718,1.56E+08,5.47E+09,99.2856,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164804.3,301.4182,770897.1,9.91E+07
50000,394,5300000,999999,400000,140000,590000,CC,7.49E+09,5.33399,1.56E+08,5.47E+09,98.14588,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164867.3,301.4182,2013002,9.98E+07
50000,394,5300000,999999,400000,150000,590000,LF,7.52E+09,5.418194,1.56E+08,5.50E+09,99.28158,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164868.1,299.6657,770897.1,9.85E+07
50000,394,5300000,999999,400000,150000,590000,CC,7.52E+09,5.380136,1.56E+08,5.50E+09,98.13754,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,6150608,5304240,3182544,164918.5,299.6657,2013002,9.93E+07
50000,394,5300000,999999,400000,160000,590000,LF,7.55E+09,5.465199,1.56E+08,5.53E+09,99.27831,0,2.25E+08,5.46E+07,3.25E+09,1.62E+09,2.36E+07,3182.544,3182544,5304240,3182544,164917.7,296.436,770897.1,9.81E+07
